Kind,Crop / Product,roads?,Main mechanism,Main loss (what exactly happens),Secondary loss (what exactly happens),"Studied logistics period
(hours, days or kilometers)",Loss %,Study area LOCAL,Study area GLOBAL,Mechanism,Key Quantitative Finding / Parameter,Context / Notes,Reference With Verifiable DOI Links,Journal quantile,Article year
Mango,"‘Palmer’ mango (Brazil, export‑oriented)
","Road roughness on a paved highway (BR‑407) generating low‑frequency vibration during truck transport (tractor–trailer, ≈75 km/h over 210 km).
",Transport‑induced vibration stress (low‑frequency bands < 40 Hz) followed by refrigerated storage.,"Accelerated weight loss, decreased pulp firmness, and peel browning during storage after vibration; quality deterioration that reduces shelf life and market acceptance.
","Appearance of peel spots and browning, which negatively affect visual quality and consumer acceptance; shift in absorbance difference index (IAD) and browning index (BI) indicating advanced ripening and senescence.
","Real truck trip: 210 km on paved BR‑407 highway (Petrolina–Jaguarari) at ~75 km/h to characterize vibration; then simulated vibration at 20, 30, and 40 Hz followed by 28 days of refrigerated storage for quality evaluation.
","After 28 days of refrigerated storage, weight loss was ≈7% in non‑vibrated control fruit and ≈9%, 10%, and 12% for mangoes previously subjected to 20, 30, and 40 Hz vibration, respectively (i.e., vibration increased weight loss by about 2–5 percentage points).","Brazil (Petrolina, Pernambuco State)",South America,Mechanical vibration during road transport (linked to road roughness and truck suspension) causing postharvest physiological and physical deterioration.,"Vibration stress during simulated transport, based on frequencies measured on a 210 km road trip, led to higher mass loss (≈9–12% vs 7% control after 28 days), reduced pulp firmness, and increased peel browning; low‑frequency vibrations (< 40 Hz), attributed to road roughness and truck structure, were identified as particularly damaging.
","The study directly links realistic road‑transport vibration conditions for export mangoes to measurable deterioration in storage. It shows that even on a paved road, vibration spectra dominated by low frequencies associated with road roughness and vehicle suspension significantly worsen weight loss and firmness decline over time, implying that better road conditions and reduced vibration could extend shelf life and preserve quality in tropical export chains.","Costa, J. D. de S., Figueiredo Neto, A., Cárdenas Olivier, N., et al. (2021). Road transport vibration stress impact on ‘Palmer’ mangoes quality and shelflife. Revista Brasileira de Fruticultura, 43(2), e‑641. https://doi.org/10.1590/0100-29452021641",Q2,2021
Apple,Fresh dessert apples,"Truck transportation vibration profiles (highway and secondary roads) with different vehicle suspensions, road roughness, and packaging designs; simulated based on real truck‑transport measurements.",Transportation vibration effects on apples during truck shipment (frequency–amplitude profiles) interacting with packaging and stacking to generate bruising.,"Bruising of apple flesh and peel at contact points (fruit–fruit and fruit–package interfaces), leading to visible damage and reduced marketable quality.","Economic loss due to downgrading from fresh‑market to processing grade, shortened shelf life, and increased risk of decay at bruise sites.","Simulated truck transport profiles corresponding to several hours of shipment under different road and vehicle conditions; tests replicate realistic transport durations and vibration spectra rather than a fixed single distance.
","Bruise volume and bruise area increased significantly under harsher vibration profiles, with some packaging/road combinations producing several‑fold higher bruise volume compared to gentler profiles; exact percentages depend on packaging design and position in the load, but the study shows clear, statistically significant increases in bruising under more severe vibration.
","Lab

Controlled laboratory simulations using transport vibration profiles derived from real truck shipments (study based in a temperate apple‑producing region; results applicable to global apple logistics).",Temperate regions,Mechanical damage (bruising) driven by transportation vibration spectrum and packaging design.,"Simulated truck‑vibration tests demonstrated that higher vibration severity (linked to rougher roads and less protective suspensions) and less protective packaging resulted in significantly greater apple bruising; packaging design and placement in the load strongly influenced bruise severity, confirming that vibration characteristics of the transport corridor are critical drivers of mechanical damage.
","This study, while focused on apples and temperate systems, reinforces the general mechanism that truck‑transport vibration, modulated by road roughness and vehicle dynamics, is a major cause of mechanical damage to fruit. It supports using vibration‑related “damage functions” across crops and regions: even outside the tropics, similar vibration spectra and packaging constraints lead to substantial quality loss, making the case that transport‑induced bruising is a generic risk factor for high‑value perishable fruit supply chains.
","Keyhan, S., et al. (2024). Transportation vibration effects on apple bruising. Packaging Technology and Science, 37(8), e2840. https://doi.org/10.1002/pts.2840",Q1,2024
General,"Smallholder fruit crops (e.g., mango, banana, citrus and other fruits) – Vhembe District","Limited and poor road access from farms to markets; some farmers report lack of proper road access as a cause of delayed transport of harvested fruit, which increases postharvest losses.
","Combination of inadequate storage conditions and mechanical damage during transportation, exacerbated by poor road access and weak transport services.
","Postharvest fruit losses (physical damage, decay, desiccation) leading to unmarketable produce or reduced quality; over half of the smallholder fruit crop farmers report experiencing these losses.
","Economic and food‑security impacts: reduced income for smallholder farmers, reduced availability of fruit, and waste of inputs; farmers highlight that poor roads and delayed transport directly affect their livelihoods.","Not expressed as exact hours or kilometers; the study examines losses from harvest through transportation, storage and marketing, with farmers reporting that delays caused by lack of proper road access increase losses (i.e., farm‑to‑market journeys in rural South Africa).","Overall, 50.9% of smallholder fruit crop farmers reported experiencing postharvest fruit losses; transportation is identified among the main causes along with inadequate storage, excessive transpiration and improper handling.
","Vhembe District, Limpopo Province, South Africa (rural smallholder fruit crop farmers).",Southern Africa,General postharvest losses linked to poor transport access and mechanical damage during transportation.,"In a survey of 224 smallholder fruit crop farmers, 50.9% reported postharvest fruit losses, with key causes including inadequate storage, transportation, transpiration and improper handling; about 18.8% of respondents explicitly indicated that a lack of proper road access delays timely transport of harvested produce and contributes to losses.
","The study concludes that improving transportation infrastructure and road access is crucial for reducing postharvest losses in smallholder fruit value chains. It emphasises that better roads from farms to markets would help ensure that fruits reach markets without delay, thereby reducing losses and improving farmer livelihoods.","Mashau, H., et al. (2025). Postharvest losses among smallholder fruit crop farmers in South Africa’s Vhembe District. Circular Agricultural Systems, 5, e009. https://doi.org/10.48130/cas-0025-0008 
",N/A,2025
"Pineapple
","Pineapple (Assam, India – tropical/equatorial belt)","Road transport from farms to wholesale markets and onwards to retailers and consumers; the study explicitly notes the need for “quick and cheap transportation” and better infrastructure, and that farmers should pool produce to benefit from bulk transport.","Postharvest losses along the supply chain caused by mechanical damage during loading, transport and unloading, poor handling, inadequate storage, and over‑ripening.","Fruit losses at multiple stages: damage and wastage at farm level, losses during transport and unloading at wholesale markets, spoilage and mechanical damage at retailer and storage levels, and waste at processing units and consumer level.","Economic losses to farmers, traders, processors and consumers; quality downgrades (immature, over‑ripe, unmarketable size) and pulp/extraction losses at processing, leading to reduced income and inefficient use of inputs.
","Farm‑to‑market and processing chain in one pineapple‑producing district of Assam; the paper does not give exact hours but covers farm → wholesale (including transportation), storage, retail, processing and consumer stages for fruit produced and marketed within the district and beyond.
","Stage‑wise losses reported in the study (pineapple, Assam):

Farm level: 8.44%

Wholesale market including transportation: 4.93%

Retail market: 5.44%

Storage unit: 5.64%

Processing units: 4.31%

Consumer level: 6.82%
Total cumulative postharvest loss from farm to consumer: 32.12%.","Assam, India (tropical region with high pineapple production).",South Asia,"General postharvest losses along the pineapple supply chain, with a significant component due to mechanical damage and inadequate transport/handling at the “wholesale including transportation” stage.","Pineapple postharvest losses in the studied district totaled 32.12% from farm to consumer; losses at the combined wholesale and transportation stage were 4.93%, with 3.09% loss at unloading in wholesale markets (of which 1.25% due to mechanical damage). Retail‑level losses were 5.44%, largely due to spoilage from mechanical damage (2.58%), over‑ripening (2.08%), and unmarketable size (0.78%).","The authors conclude that there is a need for better transportation, marketing and cold‑storage facilities to reduce pineapple losses and emphasize that “quick and cheap transportation is the need of the hour,” recommending that farmers pool produce at assembling points to benefit from bulk transport. This clearly links transport conditions and organization to measurable postharvest loss percentages in a tropical pineapple chain.","Goswami, S., & Saikia, L. (2019). Post-harvest losses of pineapple at various stages of handling from harvesting to consumption. International Journal of Agriculture Sciences, 11(22), 8874–8879. https://bioinfopublication.org/files/articles/11_22_10_IJAS.pdf ",N/A,2019
Avocado,Avocado fruits,Bad roads causing vibration during transport; fruits transported using carts and human labor (main mode) or vehicles on poor roads; vibration and mechanical damage during transport are explicitly identified as key loss causes.,"Mechanical damage from vibration on bad roads, product overheating, and poor transportation modes (carts, human labor).","Mechanical damage and overheating of avocado fruits during transportation, leading to physical damage and quality loss; 17% of total post‑harvest losses attributed directly to mode of transportation (4.09 kg/qtl out of 24.09 kg/qtl total losses).",Shelf life reduction and further losses due to incorrect packaging and inappropriate packaging materials; improper handling exacerbates transport damage.,"Producers' level transport from farm to market/assembly point using carts, human labor, and vehicles; no exact hours given but losses measured across transportation stage for local avocado supply chain.
","17% of total post‑harvest losses (4.09 kg/qtl out of 24.09 kg/qtl) were attributable to mode of transportation (vibration on bad roads, carts/human labor, overheating); total post‑harvest losses at producers' level were 24.09 kg/qtl.
",Pakistan,South Asia,Mechanical damage from vibration and overheating during transport on bad roads.,"Avocado fruits vibrate when traveling on bad roads, causing losses; out of total post‑harvest losses of 24.09 kg/qtl, 4.09 kg/qtl (17%) were attributable to the mode of transportation (carts, human labor, vehicles on poor roads); mechanical damage and product overheating were identified as major causes.
","The study highlights that bad roads and inappropriate transport modes (carts, human labor) are major contributors to avocado post‑harvest losses at producers' level; shelf life is reduced by improper packaging, which interacts with transport damage. This underscores the need for better road infrastructure and transport modes to minimize mechanical damage in avocado supply chains.
","Kumar, R., & Kumar, S. (2016). Assessment of postharvest loss of avocado at producers level. Journal of Agriculture and Crops, 6(4), 364–374. https://pdfs.semanticscholar.org/2c2c/861e3aaf7f04beacb31686661771bf248fde.pdf ",N/A,2016
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,, ,,,,,,,,,,,,
